Palabra,Conteo
primer,803
informe,377
de,223410
gobierno,2924
2019,8165
méxico,8016
presidencia,161
la,73922
república,1143
ciudad,1761
septiembre,3583
isbn,3
versión,80
electrónica,264
para,24400
web,89
https,1065
v,153
índice,570
1,5440
política,1179
y,74730
erradicar,150
corrupción,482
el,51758
dispendio,41
frivolidad,34
3,3418
recuperar,85
estado,2557
derecho,736
18,1812
separar,17
poder,777
político,200
del,32192
económico,534
24,1441
cambio,702
paradigma,52
en,55532
seguridad,3202
28,1425
reactivar,57
procuración,98
justicia,925
ii,562
garantizar,619
empleo,684
educación,3345
salud,4419
bienestar,3030
iii,416
pleno,133
respeto,224
a,42898
los,30256
derechos,1965
humanos,1338
iv,372
regeneración,41
ética,156
las,25503
instituciones,1206
sociedad,519
29,1324
reformular,13
combate,391
drogas,133
31,1631
vi,143
emprender,22
construcción,965
paz,502
32,1450
vii,162
recuperación,403
dignificación,32
cárceles,18
33,1132
viii,109
articular,60
nacional,11276
pública,3473
ix,107
repensar,15
reorientar,22
fuerzas,179
armadas,152
37,859
establecer,208
guardia,387
48,834
xi,35
coordinaciones,82
nacionales,1059
estatales,1153
regionales,372
49,796
xii,36
estrategias,361
específicas,100
50,1077
hacia,245
una,5620
democracia,148
participativa,118
55,790
revocación,55
mandato,93
59,763
consulta,537
popular,283
60,825
mandar,16
obedeciendo,16
exterior,473
principios,202
62,743
migración,328
soluciones,100
raíz,37
80,837
libertad,254
e,3639
igualdad,398
86,516
2,3143
social,3342
101,615
construir,146
un,7334
país,2329
con,23033
103,513
desarrollo,5023
sostenible,360
109,404
programas,2126
127,252
programa,5004
personas,5099
adultas,147
mayores,428
pensión,223
discapacidad,450
permanente,308
apoyo,1438
niñas,851
niños,961
hijos,132
madres,149
trabajadoras,232
becas,507
benito,165
juárez,312
128,317
jóvenes,725
construyendo,165
futuro,236
129,287
escribiendo,39
130,318
sembrando,96
vida,807
reconstrucción,290
132,337
urbano,471
vivienda,915
135,305
tandas,51
141,304
143,294
toda,221
población,4199
171,210
instituto,2306
197,174
cultura,1119
todos,573
198,198
economía,694
209,168
detonar,48
crecimiento,553
211,216
mantener,274
finanzas,132
sanas,49
220,254
no,7095
más,2855
incrementos,62
impositivos,2
225,139
contratos,284
existentes,89
aliento,15
inversión,2162
privada,180
227,164
rescate,172
sector,3463
energético,86
230,181
impulsar,511
reactivación,139
económica,749
mercado,547
interno,611
245,153
creación,488
banco,565
285,191
caminos,188
rurales,387
cobertura,825
internet,270
todo,339
286,158
proyectos,1849
aeropuerto,189
internacional,1126
felipe,103
ángeles,100
santa,214
lucía,51
288,148
autosuficiencia,115
alimentaria,265
campo,332
289,162
ciencia,606
tecnología,652
300,195
deporte,337
es,2481
cohesión,40
orgullo,18
311,128
siglas,126
abreviaturas,17
317,163
presentación,127
estricto,30
cumplimiento,804
disposiciones,402
establecidas,92
artículo,452
69,657
constitución,184
estados,1827
unidos,916
mexicanos,1028
6,2563
ley,1630
planeación,415
ejecutivo,581
federal,4591
presenta,211
al,14053
honorable,61
congreso,147
unión,276
objetivo,2062
este,2131
documento,134
manifestar,9
general,2405
que,20059
guarda,24
administración,1296
hacer,227
mención,12
expresa,21
acciones,3535
resultados,1021
relacionados,271
ejecución,374
plan,1099
pnd,71
éste,49
plantea,12
sólo,153
sino,44
régimen,115
busca,215
lograr,251
cuarta,108
transformación,286
mediante,1827
nuevas,427
formas,82
ejercer,31
relacionarse,1
ciudadanía,173
así,2484
como,5954
distintos,145
sectores,443
componen,26
esta,1066
nación,239
plural,11
multiétnica,1
rinde,5
cuentas,333
logros,96
avances,299
diciembre,2124
2018,7576
agosto,358
encaminados,20
conducir,14
eficiencia,344
modelo,393
viable,6
ordenamiento,251
convivencia,55
entre,3519
ese,354
sentido,174
está,369
compuesto,19
por,18703
tres,1112
ejes,128
fundamentales,86
materia,2012
comprometida,17
asimismo,769
realizadas,495
han,659
enfocadas,41
concretar,15
adicionalmente,228
se,32639
impulsaron,56
mecanismos,461
consultas,534
fin,1120
incluir,51
grupos,642
sido,188
sistemáticamente,6
excluidos,45
aunado,41
lo,3602
anterior,885
implementó,305
austeridad,126
republicana,49
utilizar,14
responsabilidad,150
recursos,3554
públicos,931
redistribuirlos,2
necesitadas,8
esto,313
sin,1025
afectar,22
operación,1269
sustantiva,33
ni,137
provisión,38
servicios,4534
tales,111
tranquilidad,9
son,1582
frutos,33
consecuencia,75
dio,379
inicio,388
nueva,960
estrategia,931
centrada,19
atender,466
causas,181
originan,15
inseguridad,57
violencia,736
reformó,3
creó,107
finalidad,447
proteger,157
institución,149
comenzó,46
operar,95
30,3690
junio,7195
150,364
regiones,281
elementos,430
13,1853
aspira,2
consolidar,154
estrecha,30
constructiva,4
respetuosa,3
relación,617
pueblos,588
gobiernos,664
mundo,236
nuestro,206
basa,21
valores,461
entendimiento,70
mutuo,28
prosperidad,15
compartida,27
su,4288
vez,439
recupera,11
guía,122
suprema,19
establecidos,122
fracción,161
x,110
89,580
constitucional,154
activa,149
presencia,225
orienta,19
fortalecer,800
mexicanas,375
manera,972
diplomacia,44
mexicana,610
transmite,5
profunda,14
marcha,96
vecindad,2
geográfica,154
identidad,188
cultural,586
aspiraciones,6
compartidas,8
américa,887
latina,192
caribe,263
región,604
prioritaria,77
particular,161
contribuir,391
abatir,36
pobreza,273
centroamérica,100
primarias,102
forzada,42
grandes,164
productivos,139
impulsa,90
operarán,3
cortinas,2
sur,1336
norte,525
territorio,407
generarán,11
necesita,6
sea,137
voluntaria,90
necesidad,100
ante,711
situación,470
actual,211
puso,123
defensa,590
eua,409
uso,900
instrumentos,369
legales,107
alcance,87
atención,2752
migrantes,327
prevención,1200
violaciones,87
inició,447
protección,1922
migrante,132
consiste,63
red,724
abogados,13
consultores,8
otorgar,105
asesoría,286
legal,123
mayor,1114
número,2724
connacionales,45
además,948
reforzó,33
vulnerables,97
capacitación,1103
funcionarios,104
consular,141
cancillería,10
sobre,2159
protocolos,117
consulares,99
especializada,129
adolescentes,577
acompañados,44
víctimas,804
género,644
trata,102
crímenes,8
odio,8
parte,1152
premisa,10
políticas,393
sociales,961
últimos,105
treinta,2
años,2202
insuficientes,5
incidir,41
positivamente,16
niveles,385
resolver,36
desigualdades,39
económicas,382
diferentes,456
sus,2228
aquellos,122
históricamente,120
padecido,2
discriminación,334
presentan,207
rezagos,14
alimentación,217
otros,2202
requiere,65
inclusión,459
pobres,30
establecieron,137
criterios,291
priorizar,6
implementación,663
integrales,134
indígena,501
grado,243
marginación,238
altos,79
índices,99
condición,188
necesaria,30
incluyente,99
equitativo,43
siguientes,1711
reducir,268
condiciones,742
vulnerabilidad,186
otorgarles,5
ingreso,535
básico,288
universal,110
contributiva,12
reducción,291
adultos,226
sufrido,5
física,1003
proporciona,55
formación,669
técnica,381
productiva,248
fomenta,47
financiera,612
rural,792
localidades,457
marginadas,25
biodiversidad,91
contribuye,159
fortalecimiento,740
local,209
