Palabra,Conteo
primer,73
informe,63
de,10242
gobierno,258
carlos,14
salinas,12
gortari,12
presidente,96
los,3000
estados,143
unidos,76
mexicanos,332
noviembre,21
1,35
1989,57
honorable,36
congreso,86
la,7120
unión,66
apertura,48
del,1924
periodo,71
ordinario,8
sesiones,14
se,1933
celebra,2
el,4136
por,1269
primera,51
vez,96
en,4525
razón,33
reforma,163
constitucional,52
introducida,2
1986,3
asisto,5
esta,219
fecha,25
cumplimiento,41
obligación,14
consagrada,2
artículo,35
69,7
nuestra,401
carta,5
magna,4
para,1742
informar,5
estado,323
que,2772
guarda,14
administración,83
pública,87
federal,118
asimismo,33
junto,17
con,1646
este,361
entrego,5
un,1151
documento,4
anexo,2
amplía,10
y,5325
detalla,2
exposición,4
ante,88
ustedes,5
realizo,2
hace,76
once,2
meses,51
asumí,4
mandato,28
conducir,16
a,2722
méxico,588
cambio,198
fiel,5
constitución,63
sus,475
leyes,26
objetivos,30
tradiciones,28
han,455
sido,145
intenso,15
trabajo,107
cumplir,31
hechos,80
lo,542
prometí,2
durante,157
campaña,5
política,234
pues,11
así,201
me,35
exigió,4
pueblo,140
todo,176
largo,68
república,133
demanda,68
es,832
persistente,4
definida,3
urgente,4
voz,17
exige,34
justicia,216
seguridad,109
empleo,54
servicios,97
educación,130
salud,98
vivienda,38
abasto,34
alimentos,5
medio,103
ambiente,52
limpio,7
también,223
expresa,11
reclamo,24
una,891
más,1115
amplia,25
efectiva,18
participación,170
vida,162
procesos,33
electorales,26
imperen,2
imparcialidad,4
certeza,13
respeto,143
reconocimientos,3
mutuos,3
nueva,157
relación,71
democrática,48
entre,304
ciudadanos,33
autoridad,35
fundada,9
diálogo,98
buena,12
fe,17
concertación,55
responsable,12
apego,17
ley,130
ese,57
comprometí,9
porque,90
garantiza,11
continuidad,8
historia,101
búsqueda,12
favor,24
libertad,103
ha,643
esencial,18
movimiento,22
sociedad,202
hoy,219
labor,26
generaciones,18
nunca,27
perdieron,6
sí,32
mismas,8
supieron,2
cada,125
momento,39
