Palabra,Conteo
fuente,1135
http,352
mensaje,17
del,29926
presidente,388
de,220281
los,31716
estados,1984
unidos,737
mexicanos,1104
licenciado,1
enrique,84
peña,77
nieto,73
con,25186
motivo,97
su,4947
primer,846
informe,329
gobierno,3241
señoras,5
y,70647
señores,16
muy,155
buenos,14
días,341
a,42316
todas,382
todos,590
ustedes,2
señor,7
la,79547
mesa,89
directiva,21
cámara,207
diputados,119
senadores,65
suprema,35
corte,79
justicia,901
nación,93
integrantes,239
gabinete,71
legal,173
ampliado,10
república,2232
apreciados,1
gobernadores,43
jefe,38
distrito,446
federal,3180
coordinadores,32
parlamentarios,21
legisladores,41
poder,236
judicial,108
federación,688
titulares,85
órganos,166
constitucionales,92
autónomos,55
respetados,2
dirigentes,8
partidos,26
políticos,96
en,63798
nuestro,277
país,2618
embajadores,9
honorable,77
cuerpo,26
diplomático,13
acreditado,22
distinguidos,5
las,24525
fuerzas,214
armadas,149
representantes,298
sociedad,799
civil,900
organizada,180
organizaciones,519
trabajadores,709
empresariales,104
campesinas,18
rectores,15
directores,80
instituciones,1377
educación,3526
superior,2177
académicos,161
científicos,65
artistas,16
deportistas,84
iglesias,6
asociaciones,138
religiosas,46
servidores,569
públicos,1254
agradezco,1
presencia,321
mi,34
esposa,1
angélica,1
nuestros,57
hijos,88
nuestra,43
familia,287
que,22687
me,23
acompañan,5
este,2764
evento,246
medios,273
comunicación,572
cumplimiento,843
lo,4629
establecido,209
el,56322
artículo,299
69,95
constitución,199
política,1202
envié,1
al,12255
congreso,234
unión,320
escrito,8
sobre,2384
estado,2126
guarda,26
administración,1470
pública,1973
se,34158
entregó,101
durante,2912
sesión,189
apertura,165
periodo,1515
sesiones,273
ordinarias,48
correspondiente,167
segundo,537
año,1696
ejercicio,750
lxii,1
legislatura,4
tuvo,279
lugar,269
ayer,1
1,2458
septiembre,2895
escuché,1
atención,2709
posicionamientos,4
grupos,573
consejo,850
general,1820
ponen,12
manifiesto,14
pluralidad,14
les,191
deseo,4
mayor,1484
éxitos,3
trascendente,3
legislativo,71
han,833
iniciado,24
celebro,3
forma,636
inédita,5
gran,188
decisión,43
plena,50
responsabilidad,225
unas,5
horas,243
iniciados,28
sus,2769
trabajos,517
aprobó,235
nueva,596
ley,1337
servicio,1150
profesional,373
docente,312
éste,30
es,2321
un,10112
paso,99
importante,190
trascendental,6
para,25521
asegurar,303
calidad,1517
niños,815
jóvenes,737
por,12262
ello,796
confío,3
pronto,6
senado,109
también,452
habrá,24
discutirla,1
aprobarla,1
caso,393
nueve,376
meses,243
inicio,431
rindo,1
cuentas,267
desde,753
diciembre,3020
comprometí,2
impulsar,1004
cambios,139
fondo,1110
necesita,8
expresé,1
no,2696
sólo,114
veníamos,1
administrar,19
sino,37
transformar,36
méxico,6767
comenzar,5
esta,1660
había,25
dos,1454
opciones,115
mantener,268
inercia,3
o,2678
emprender,28
seguridad,2694
disyuntiva,1
era,50
seguir,78
usando,4
solamente,16
fuerza,207
contra,1150
criminalidad,12
ser,349
más,4110
eficaces,20
mejor,299
información,2661
análisis,485
coordinación,1391
institucional,399
prevención,1345
social,2927
delito,376
materia,2793
alternativa,38
programas,2007
existentes,171
replantearlos,1
enfrentar,58
doloroso,1
e,3156
inaceptable,1
cualquier,138
hambre,215
dilema,2
permitir,64
siguiera,2
estancada,2
recuperara,1
rectoría,17
transformarla,1
elevar,194
económica,694
eran,25
conformarnos,2
reformas,335
crezca,15
exterior,436
dejar,13
proyectando,1
una,7882
imagen,75
distorsionada,1
ir,2
mundo,269
reposicionarlo,1
como,7299
somos,24
hoy,53
queda,2
claro,20
hemos,10
optado,2
ruta,93
transformación,230
camino,33
exigente,1
arduo,1
nos,27
demandará,1
grandes,132
esfuerzos,333
pero,76
único,148
llevará,13
queremos,3
construir,155
sencilla,14
obstáculos,24
desafíos,47
así,3007
asumí,1
momento,94
empecé,1
tomar,42
decisiones,202
bien,87
resistencias,3
son,1317
consecuencia,57
natural,409
cuando,178
impulsan,31
transformaciones,10
perder,2
vista,17
objetivo,2194
adelante,22
detenernos,1
agenda,359
otra,216
velar,28
está,369
impulsando,68
mayoría,73
ciudadanos,186
sabe,4
teníamos,1
hacer,297
exigía,2
llevar,170
cabo,2093
dispuesta,2
respaldar,21
ésta,29
principales,689
razones,30
hizo,37
posible,164
firma,137
pacto,27
día,207
siguiente,512
iniciada,8
95,100
