Palabra,Conteo
discurso,1
del,794
presidente,83
felipe,13
calderón,35
al,341
entregar,3
su,295
primer,34
informe,53
de,4869
gobierno,249
congreso,58
la,2733
unión,41
1,14
septiembre,37
2007,6
honorable,11
mexicanas,43
y,2375
mexicanos,215
en,2083
cumplimiento,19
lo,295
dispuesto,7
por,700
el,1774
artículo,6
69,5
constitución,12
política,100
los,1302
estados,94
unidos,76
cumplo,1
con,669
mi,71
deber,9
asistir,1
a,1788
apertura,14
las,771
sesiones,2
ordinarias,1
periodo,17
presento,1
un,610
escrito,5
donde,61
manifiesto,2
estado,100
general,23
que,2031
guarda,10
administración,57
pública,46
país,245
hago,10
entrega,6
señor,10
este,217
acto,3
pido,5
usted,8
se,458
sirva,1
dar,21
cuenta,17
contenido,3
señoras,35
señores,40
legisladores,13
cumplido,4
esta,133
obligación,5
constitucional,10
también,257
ustedes,17
he,34
instruido,3
secretarios,3
despacho,2
república,42
para,759
presenten,3
ante,30
rendir,3
ramo,1
términos,7
cuando,20
así,84
determine,2
cámara,18
diputados,14
o,238
senado,13
finalmente,14
reitero,5
respeto,13
consideración,3
absolutos,2
quedo,2
espera,2
órdenes,15
tener,28
diálogo,42
público,20
directo,4
sobre,84
nación,48
muchas,39
gracias,62
mensaje,28
motivo,10
desde,77
palacio,2
nacional,70
2,13
ciudadano,11
ministro,5
guillermo,5
ortiz,5
mayagoitia,3
suprema,8
corte,11
justicia,59
senador,5
santiago,1
creel,1
miranda,1
mesa,10
directiva,7
senadores,6
diputado,5
cristian,1
castaño,1
contreras,1
vicepresidente,2
martínez,1
gobernador,5
banco,7
méxico,573
josé,6
luis,10
soberanes,2
fernández,1
comisión,13
derechos,44
humanos,29
carlos,1
ugalde,1
consejero,5
instituto,13
federal,111
electoral,20
gobernadores,8
embajadores,2
ayer,8
asistí,1
una,516
ceremonia,1
respetuosa,3
sobria,1
acorde,1
nuevos,34
tiempos,6
presenté,11
hoy,132
comparto,3
algunos,27
sus,152
aspectos,5
más,625
relevantes,5
ha,218
precedido,1
discusión,3
no,320
puedo,4
ni,37
debo,7
eludir,2
junto,10
muchos,40
compartido,1
idea,4
formato,2
debe,42
cambiar,28
éste,10
convertirse,3
entre,151
poderes,15
constitucionalmente,1
tienen,39
responsabilidad,33
representar,3
ciudadanos,83
naturaleza,11
misma,11
actividad,18
parlamentaria,1
está,61
debate,4
como,257
condición,7
indispensable,19
gubernamental,1
democracia,42
entiende,1
sin,113
ideas,7
es,525
respetuoso,9
franca,3
directa,6
diferencias,11
honestidad,2
reconocer,15
coincidencias,3
eso,114
día,38
reiteré,2
disposición,9
marco,48
responsabilidades,6
determinen,1
qué,35
manera,58
ser,58
ese,66
democrático,11
titular,3
ejecutivo,12
asumí,2
compromiso,36
ciudadanía,16
buscar,9
desarrollo,111
humano,21
sustentable,31
trata,15
promover,24
integral,19
personas,37
todos,181
social,51
económico,30
político,22
cultural,8
ambiental,8
hacerlo,10
tal,7
cancelen,1
oportunidades,71
bienestar,14
generaciones,13
vienen,3
me,25
comprometí,5
guiar,1
acción,25
cinco,38
ejes,7
fundamentales,6
primero,17
derecho,32
seguridad,116
segundo,34
economía,100
competitiva,17
generadora,6
empleos,56
tercero,7
igualdad,12
cuarto,8
quinto,10
efectiva,13
exterior,66
activa,8
responsable,20
presidencia,11
encontré,3
delicada,3
situación,28
materia,92
ello,101
durante,37
tiempo,49
comprende,1
hemos,263
emprendido,6
lucha,49
frontal,5
contra,56
violencia,32
crimen,55
organizado,42
objetivo,32
fundamental,21
esfuerzo,68
sido,86
garantizar,22
imperio,4
ley,40
todo,102
territorio,15
permitir,6
delincuencia,40
apodere,1
nuestro,90
luchamos,1
nuestras,54
familias,92
nuestros,92
hijos,39
mujeres,40
transitemos,1
temor,6
calles,5
caminos,6
pueblos,8
ciudades,14
problema,29
era,23
sólo,100
presencia,16
sino,47
beligerancia,1
impunidad,6
varias,19
organizaciones,21
criminales,60
habían,10
tomado,5
control,25
territorial,5
diversas,10
regiones,16
pretensión,1
olvidemos,1
secuestrar,3
futuro,46
si,52
hay,78
emana,1
busca,15
imponer,3
propia,10
definición,2
tiene,48
monopolio,1
uso,11
fuerza,28
estos,70
grupos,17
buscan,7
dominar,5
paralizar,1
pocas,4
palabras,5
desafiado,1
pretendían,1
suplantar,1
autoridad,15
había,25
rebasado,2
capacidades,13
autoridades,43
locales,16
consecuencia,7
obligaba,2
subsidiaria,2
solidaria,1
federación,10
gravedad,4
riesgo,10
siguiera,1
propagando,1
admitía,1
indecisión,1
demora,1
decidimos,4
actuar,12
toda,34
restablecer,2
orden,18
tamaño,4
desafío,6
respuesta,5
primeros,9
días,23
desplegamos,1
varios,20
operativos,11
además,70
participación,24
coordinada,3
procuraduría,8
secretaría,14
han,137
contado,4
apoyo,52
decisivo,1
determinación,11
fuerzas,31
armadas,11
primordial,3
recuperar,13
poder,32
indelegable,1
e,194
irrenunciable,1
inicio,31
permitió,9
retomar,3
iniciativa,19
arrebatado,1
batalla,8
aún,36
lejos,5
concluir,5
sería,4
irresponsable,2
afirmar,1
ganada,1
recordar,6
población,19
ésta,11
será,26
larga,4
difícil,17
tomará,3
mucho,37
implicará,2
enormes,3
recursos,54
económicos,24
desgracia,9
costará,4
vidas,5
humanas,6
reconocimiento,19
muy,86
especial,21
valor,7
patriotismo,5
dado,17
grandes,23
muestras,1
lealtad,6
servicio,30
especialmente,22
rindo,2
homenaje,2
soldados,9
marinos,9
caídos,1
honra,2
memoria,5
reconoce,1
sacrificio,3
bien,37
patria,14
honores,1
policías,35
federales,32
estatales,17
municipales,14
ofrendado,1
guerra,5
defensa,8
patriotas,1
vano,2
ejército,7
mexicano,28
paz,16
precisamente,29
libertad,12
fin,41
traducir,4
pleno,6
hechos,10
otorgó,1
incremento,13
sustancial,5
menguados,1
salarios,7
pospuesto,1
años,103
elemental,3
realizados,2
permitido,19
detener,6
últimos,21
nueve,13
meses,25
casi,55
10,23
mil,210
vinculadas,6
tráfico,6
drogas,12
captura,5
veintena,1
importantes,43
líderes,23
narcotráfico,12
pertenecientes,1
lograron,4
cifras,8
extraordinarias,1
cuanto,3
