Palabra,Conteo
primer,19
informe,39
de,3165
gobierno,200
vicente,7
fox,7
quesada,7
presidente,50
los,878
estados,49
unidos,24
mexicanos,89
septiembre,11
1,7
2001,12
honorable,19
congreso,73
la,2223
unión,40
mexicanas,20
y,1579
con,461
misma,9
emoción,1
responsabilidad,53
que,1055
asumí,3
el,1254
mandato,19
como,147
república,42
comparezco,3
hoy,109
ante,42
este,202
poder,70
legislativo,21
las,619
para,519
presentar,4
del,552
estado,97
guarda,6
administración,40
pública,70
país,140
conforme,4
lo,161
establece,3
constitución,13
rindo,1
cuentas,18
ha,194
realizado,7
durante,29
sus,132
primeros,12
nueve,9
meses,16
gestión,10
corresponde,5
a,926
ustedes,11
señoras,20
señores,23
legisladores,43
análisis,7
escrito,7
anexos,4
titulares,1
dependencias,6
entidades,10
federal,52
responderán,1
su,222
convocatoria,4
ofrecer,3
información,17
adicional,2
consideren,1
necesaria,3
presentan,2
en,1197
más,290
mil,140
páginas,1
acciones,23
cifras,6
dan,6
cuenta,11
precisa,1
logros,15
hemos,179
alcanzado,16
todas,53
áreas,11
estos,54
estarán,2
ampliamente,2
disponibles,1
todo,48
aquel,2
o,51
aquella,1
desee,1
consultarlos,1
será,23
útil,2
acercarse,1
documentos,2
fin,23
conocer,5
detalles,2
transformaciones,11
estamos,86
impulsando,9
poner,12
méxico,168
al,263
día,14
vanguardia,7
estaré,1
atento,2
observaciones,1
sugerencias,1
críticas,1
surjan,2
amplia,4
aquí,20
presentamos,1
deseo,2
manifestar,1
inicio,9
mensaje,7
estricta,4
observancia,1
ordena,1
ley,60
orgánica,3
arribé,1
recinto,5
una,377
vez,35
concluidas,1
intervenciones,2
representantes,11
grupos,11
parlamentarios,9
integran,2
esta,83
legislatura,14
no,339
obstante,23
escuché,1
toda,31
atención,15
cada,67
participaciones,1
tomé,1
nota,1
puntual,4
posiciones,6
convencido,4
importancia,6
consolidar,11
prácticas,12
democráticas,8
quiero,6
reiterar,2
mi,85
disposición,6
promover,13
respetar,6
cualquier,7
medida,4
fortalezca,2
diálogo,31
entre,74
poderes,44
ejecutivo,44
muestra,10
hago,8
atenta,9
invitación,3
coordinadores,1
próximos,7
días,7
cuando,23
decidan,1
nos,100
reunamos,1
intercambiar,3
puntos,9
vista,7
acerca,2
trascendentes,2
asuntos,5
abordados,1
alta,6
tribuna,5
2,17
julio,6
año,148
2000,39
votó,1
por,405
cambio,62
desde,28
ese,36
momento,15
histórica,9
conducir,5
un,457
nuevo,34
camino,12
me,14
comprometí,2
democratizar,4
ejercicio,28
establecer,8
relación,17
transparente,6
participativa,4
sociedad,108
combatir,5
pobreza,49
corrupción,18
ignorancia,2
impunidad,6
así,56
manejar,1
responsablemente,2
economía,50
lograr,17
profundo,4
están,32
dirigidas,2
mis,5
energías,2
avanza,6
rumbo,11
claro,7
le,15
da,10
proyecto,15
nación,55
bien,28
definido,4
alternativa,6
mexicana,18
desarrollo,89
es,402
humanismo,7
moderno,7
emprendedor,2
socialmente,2
responsable,24
él,9
queremos,11
naciones,17
sea,11
historia,31
éxito,3
siglo,14
xxi,8
sí,10
tiene,27
esa,15
humanista,1
concibe,1
nuestro,84
plena,10
florecen,1
libertades,16
democracia,156
derecho,34
transparencia,24
federalismo,9
se,332
vive,5
gobernabilidad,26
democrática,41
desigualdad,10
nuestra,142
impulsa,1
política,103
social,114
amplía,2
concepto,3
planteando,1
universalización,1
oportunidades,38
corresponsabilidad,16
quienes,23
obtienen,1
realización,2
personas,36
dimensiones,2
propone,2
desarrolle,1
pero,47
también,111
mejore,2
capacidad,21
gobernar,6
requiere,13
mayor,47
libertad,37
acaten,1
leyes,27
exige,36
respeto,43
todos,130
derechos,60
cumplimiento,12
deberes,4
promueve,4
expansión,3
mercados,5
fortaleza,10
públicos,20
busca,7
crecimiento,37
beneficios,6
distribuyan,1
equidad,20
alienta,2
habitantes,2
ocupa,1
han,113
tenido,7
emigrar,2
extranjero,5
basado,3
innovador,1
quedó,3
enmarcado,1
plan,5
nacional,76
instrumento,8
propicia,1
clara,6
dirección,4
cual,8
elaboramos,2
participación,24
sin,100
precedente,11
avanzamos,11
construcción,22
acotado,2
ejercido,7
justas,4
suficiente,6
hacer,40
cosas,4
limitado,1
ciudadanos,54
ello,47
desprendido,1
distinto,1
deriva,2
justamente,3
concepción,1
diferente,3
sobre,66
público,32
sido,65
cuidadosos,1
reorientar,1
sobresaltos,1
madurez,4
demuestra,4
instituciones,63
fortalecimiento,19
conducción,3
capaces,2
evitar,5
riesgos,4
conflicto,4
estabilidad,23
presentes,5
etapa,7
transición,9
alternancia,11
significó,1
histórico,15
contrario,5
algunos,6
llegaron,1
pensar,2
desmoronó,1
hubo,4
fuga,1
capitales,1
ni,45
devaluaciones,1
siguió,1
marcha,25
prevalecido,2
decidido,8
dado,23
permanente,12
constructivo,1
220,1
reuniones,4
funcionarios,3
cámara,7
acreditan,1
ocultar,3
diferencias,13
propias,2
diversidad,9
marcado,3
firme,10
determinación,5
coincidencias,5
divergencia,1
encontrado,1
siempre,21
solución,9
sometido,2
vacilación,1
alguna,5
fallo,2
inapelable,1
judicial,16
federación,7
garante,3
legalidad,24
nunca,21
entendida,1
capricho,1
guiado,3
valores,16
democráticos,8
propios,3
político,34
he,18
conducido,3
autoritarismo,3
prepotencia,1
habido,5
opresión,1
represión,6
contra,41
difieren,1
decisiones,32
gubernamentales,5
tomado,4
ejecutado,1
tintes,1
partidistas,8
buscando,3
merecer,1
actores,12
políticos,26
respuesta,15
constructiva,5
ninguna,9
otra,15
época,5
vivimos,5
bajo,18
imperio,3
expresión,18
medios,9
comunicación,6
restricción,2
propio,6
sentido,19
atmósfera,1
respira,2
plazas,4
calles,3
ya,39
patrimonio,15
justicia,50
electoral,12
venido,2
perfeccionar,2
procedimientos,4
electorales,6
desenvuelven,1
autonomía,13
e,50
imparcialidad,1
exigir,3
cosa,3
ciertamente,1
impugnaciones,1
procesos,5
órganos,3
competentes,4
resuelto,3
resoluciones,4
invariablemente,2
aceptadas,1
partidos,12
autoridades,13
trabaja,3
vitrina,1
permite,8
ciudadano,27
observar,1
evaluar,3
hace,19
deja,2
rendimos,1
claras,7
puntuales,2
cómo,2
qué,5
gasta,1
dinero,1
actuado,5
apego,15
código,1
ética,10
protestamos,1
cumplir,9
consejos,2
vigilar,2
dando,5
pasos,9
firmes,6
hacia,14
hacemos,6
menos,17
innovadores,1
mejor,36
volvemos,1
eficiente,4
descentralizamos,1
funciones,7
gasto,21
ahorrado,3
seis,10
6,5
800,3
millones,100
pesos,48
corriente,4
vamos,2
ahorrar,1
semestre,8
ejercimos,1
ciento,98
anual,4
programado,2
encima,13
porcentaje,1
promedio,3
años,54
1995,2
fue,13
uno,30
principales,11
protagonistas,3
nuevos,16
tiempos,14
equilibrio,12
inédito,2
juntos,24
sistema,39
presidencial,8
respetuoso,6
separación,4
subrayan,1
debo,1
decir,5
podemos,24
reducir,6
episodio,1
relevante,2
haya,9
vida,46
gran,23
imprescindible,8
evento,1
basta,4
solo,13
romper,1
viejas,3
inercias,2
estoy,6
consciente,7
muchas,21
aún,18
deben,14
cambiar,3
muchos,18
nominal,1
posible,13
cultura,20
transcurso,1
unos,5
cuantos,4
cejaré,1
esfuerzos,26
veamos,3
justa,12
dimensión,7
discrepancias,2
reestructurando,1
genera,4
reacciones,1
son,89
sino,29
natural,5
pluralidad,20
justifica,1
acudir,1
violencia,11
luchar,3
causa,7
válido,2
pretender,2
acorralar,1
vía,12
tolerar,1
violenta,1
protesta,3
porque,21
puertas,3
abiertas,2
lucha,27
vías,5
institucionales,5
convoco,4
condenar,2
forma,14
pongamos,2
parte,26
contexto,9
esperar,1
todavía,15
consideran,1
bastan,1
contiendas,1
superar,13
nuestros,52
problemas,26
reconozcan,1
hay,45
ellos,16
sufragio,1
hora,11
ocupe,1
lugar,11
agenda,6
reincorporar,1
fueron,5
dejados,1
vera,1
objetivo,13
admite,1
demora,1
acumulado,2
enorme,8
rezago,4
punto,11
límite,2
tolerancia,10
